product_id,product_name,category_id,current_price,created_at
33,The Art of Clean Code,4,30.08,2023-04-04 01:55:00
34,Data Science Handbook,4,43.26,2024-10-04 05:50:00
35,Cookbook: European Cuisine,4,26.34,2024-09-02 02:24:00
36,Fantasy Novel: The Lost Realm,4,15.42,2024-04-24 16:16:00
37,History of Europe,4,31.39,2025-05-31 00:43:00
38,Business Strategy Guide,4,33.05,2024-11-29 17:48:00
39,Children's Picture Book,4,12.08,2024-10-18 10:07:00
40,Travel Guide: Scandinavia,4,20.17,2023-06-11 14:00:00
41,Yoga Mat,5,34.07,2025-06-15 23:16:00
42,Dumbbell Set 20kg,5,101.60,2025-02-19 05:32:00
43,Cycling Helmet,5,67.31,2025-06-10 20:19:00
44,Tennis Racket,5,88.19,2024-06-03 19:12:00
45,Soccer Ball,5,22.39,2025-02-19 05:34:00
46,Resistance Bands Set,5,22.71,2024-06-27 00:38:00
47,Water Bottle 1L,5,13.74,2023-01-20 03:59:00
48,Fitness Tracker,5,66.16,2025-05-01 09:15:00
49,Jump Rope,5,11.27,2025-06-18 18:05:00
50,Camping Tent 2-Person,5,112.96,2024-05-12 02:48:00
51,Face Moisturizer,6,23.22,2023-05-09 04:42:00
52,Shampoo 500ml,6,11.90,2024-07-16 05:16:00
53,Perfume 50ml,6,69.57,2024-09-13 13:13:00
54,Electric Toothbrush,6,56.42,2025-02-12 23:44:00
55,Hair Dryer,6,36.32,2023-11-16 12:42:00
56,Makeup Brush Set,6,25.60,2024-03-24 16:28:00
57,Sunscreen SPF50,6,15.94,2023-08-19 02:21:00
58,Beard Trimmer,6,37.68,2024-07-21 07:37:00
59,Body Lotion,6,12.37,2023-03-14 22:40:00
60,Nail Care Kit,6,17.34,2023-03-11 01:55:00
61,Building Blocks 500pcs,7,47.45,2024-06-10 07:17:00
62,Remote Control Car,7,41.92,2023-08-08 17:08:00
63,Puzzle 1000 Pieces,7,21.33,2024-08-07 18:30:00
64,Board Game: Strategy,7,31.84,2024-04-29 13:12:00
65,Plush Teddy Bear,7,21.95,2024-11-05 13:22:00
66,Art Supplies Kit,7,28.34,2024-04-23 23:03:00
67,Toy Train Set,7,63.02,2024-10-23 03:03:00
68,Dollhouse,7,76.69,2023-12-14 03:15:00
69,Science Experiment Kit,7,32.22,2024-07-03 14:08:00
70,Outdoor Play Set,7,86.91,2023-10-13 14:15:00
71,Office Chair,8,199.11,2023-03-19 14:51:00
72,Desk Lamp,8,38.78,2024-07-17 03:03:00
73,Standing Desk,8,312.65,2024-07-07 00:05:00
74,Notebook A5,8,10.14,2025-05-19 07:10:00
75,Ballpoint Pen Set,8,12.15,2024-05-07 06:55:00
76,File Organizer,8,19.40,2023-03-02 05:24:00
77,Monitor Stand,8,37.43,2024-02-04 08:59:00
78,Whiteboard 60x90cm,8,59.58,2024-04-10 09:27:00
79,Desk Organizer,8,26.46,2025-01-18 17:42:00
80,Ergonomic Footrest,8,41.56,2023-06-08 06:18:00
81,Organic Coffee Beans 1kg,9,18.30,2023-03-01 18:47:00
82,Olive Oil 750ml,9,13.15,2025-02-04 10:03:00
83,Pasta 500g,9,2.59,2024-05-03 16:58:00
84,Dark Chocolate 200g,9,4.98,2023-06-11 01:32:00
85,Green Tea 100 Bags,9,7.86,2023-07-10 02:38:00
86,Honey 500g,9,8.27,2025-06-01 07:25:00
87,Almonds 500g,9,10.62,2024-08-06 07:37:00
88,Tomato Sauce 6-Pack,9,7.71,2024-09-26 02:26:00
89,Breakfast Cereal,9,6.27,2024-08-01 16:20:00
90,Sparkling Water 12-Pack,9,7.90,2023-07-29 21:45:00
91,Backpack,10,56.65,2023-09-29 12:08:00
92,Leather Wallet,10,36.70,2023-11-04 14:20:00
93,Sunglasses,10,55.31,2023-03-16 00:29:00
94,Umbrella,10,20.72,2024-07-30 03:04:00
95,Travel Mug,10,22.75,2024-06-02 08:08:00
96,Keychain Flashlight,10,11.29,2023-03-12 07:23:00
97,Laptop Sleeve,10,27.13,2024-03-24 17:45:00
98,Phone Case,10,14.10,2025-04-06 20:33:00
99,Belt Bag,10,33.67,2025-04-16 17:19:00
100,Watch Band,10,28.23,2023-04-17 04:16:00
